IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
195.16.74.188,8443,TRUE,IST,Europe,Istanbul,170 ms,11.01
144.202.102.129,443,TRUE,LAX,North America,Los Angeles,180 ms,11
172.105.79.224,2083,TRUE,FRA,Europe,Frankfurt,185 ms,11
66.245.193.180,2087,TRUE,MAN,Europe,Manchester,189 ms,10.95
38.180.57.184,443,TRUE,AMS,Europe,Amsterdam,158 ms,10.9
94.131.108.151,2053,TRUE,IST,Europe,Istanbul,181 ms,10.9
94.131.123.74,443,TRUE,VIE,Europe,Vienna,164 ms,10.81
91.193.5.102,2053,TRUE,MXP,Europe,Milan,191 ms,10.8
154.12.60.51,443,TRUE,HKG,Asia Pacific,Hong Kong,44 ms,10.72
188.116.24.56,8443,TRUE,AMS,Europe,Amsterdam,133 ms,10.68
154.40.40.44,34237,TRUE,LAX,North America,Los Angeles,160 ms,10.67
139.59.75.66,443,TRUE,MAA,Asia Pacific,Chennai,174 ms,10.66
136.244.71.65,2053,TRUE,LHR,Europe,London,175 ms,10.66
51.89.184.223,8443,TRUE,LHR,Europe,London,244 ms,10.63
5.180.45.21,2053,TRUE,IST,Europe,Istanbul,152 ms,10.62
37.1.216.25,8443,TRUE,AMS,Europe,Amsterdam,159 ms,10.62
194.58.56.49,443,TRUE,AMS,Europe,Amsterdam,167 ms,10.62
38.180.122.29,8443,TRUE,AMS,Europe,Amsterdam,176 ms,10.59
23.159.248.90,34237,TRUE,AMS,Europe,Amsterdam,159 ms,10.58
38.180.48.140,443,TRUE,FRA,Europe,Frankfurt,197 ms,10.56
38.180.117.153,8443,TRUE,AMS,Europe,Amsterdam,136 ms,10.54
45.136.50.237,443,TRUE,AMS,Europe,Amsterdam,134 ms,10.53
23.94.101.139,2053,TRUE,AMS,Europe,Amsterdam,223 ms,10.51
139.162.190.137,8443,TRUE,FRA,Europe,Frankfurt,192 ms,10.5
45.87.154.25,8443,TRUE,AMS,Europe,Amsterdam,189 ms,10.47
37.1.221.82,8443,TRUE,AMS,Europe,Amsterdam,166 ms,10.46
185.238.169.177,443,TRUE,AMS,Europe,Amsterdam,146 ms,10.45
